,rent,dist,nrooms,age,size,noccup,price
0,462.0,17.0,2.0,41.0,5.0,3,226300.0
1,462.0,17.0,2.0,21.0,4.0,3,205855.39797136892
2,462.0,,2.0,52.0,5.0,3,176050.0
3,423.0,17.0,2.0,52.0,5.0,3,170650.0
4,288.0,17.0,2.0,52.0,4.0,3,171100.0
5,302.0,17.0,2.0,52.0,4.0,3,142074.2917425072
6,,17.0,2.0,46.0,8.0,3,149600.0
7,234.0,17.0,,52.0,8.0,3,120700.0
8,156.0,17.0,2.0,42.0,4.0,3,113350.0
9,276.0,17.0,2.0,52.0,4.0,3,130550.0
10,240.0,17.0,2.0,52.0,4.0,3,140750.0
11,,17.0,2.0,52.0,4.0,3,120900.0
12,230.0,17.0,2.0,,4.0,3,106750.0
13,200.0,17.0,2.0,52.0,4.0,3,95650.0
14,143.0,,2.0,52.0,4.0,3,79600.0
15,159.0,17.0,2.0,50.0,5.0,3,70000.0
16,208.0,17.0,2.0,52.0,4.0,3,146218.58329631886
17,159.0,17.0,2.0,52.0,4.0,3,77750.0
18,149.0,17.0,,50.0,4.0,3,79350.0
19,195.0,17.0,2.0,52.0,5.0,3,81450.0
20,101.0,17.0,2.0,40.0,5.0,3,73750.0
21,128.0,17.0,2.0,42.0,5.0,3,79900.0
22,129.0,17.0,2.0,52.0,4.0,3,87337.02197380725
23,163.0,8.0,2.0,52.0,5.0,3,49850.0
24,195.0,17.0,2.0,52.0,4.0,3,104253.61688756665
25,180.0,17.0,2.0,41.0,5.0,3,53750.0
26,184.0,17.0,2.0,49.0,8.0,3,46900.0
27,135.0,17.0,2.0,52.0,5.0,3,52750.0
28,123.0,17.0,2.0,50.0,4.0,3,54450.0
29,126.0,8.0,2.0,52.0,5.0,3,66000.0
30,144.0,17.0,2.0,49.0,4.0,3,61150.00000000001
31,147.0,17.0,2.0,,5.0,3,57599.99999999999
32,134.0,17.0,2.0,48.0,6.0,3,55200.00000000001
33,103.0,17.0,2.0,49.0,4.0,3,52450.0
34,,17.0,2.0,51.0,4.0,3,54850.0
35,111.0,17.0,2.0,49.0,4.0,'3',48600.0
36,82.0,17.0,2.0,48.0,5.0,3,52250.0
37,105.0,8.0,2.0,52.0,4.0,3,51949.99999999999
38,261.0,17.0,2.0,52.0,4.0,3,95700.0
39,194.0,17.0,,52.0,4.0,3,88000.0
40,157.0,17.0,2.0,52.0,4.0,,77700.0
41,96.0,17.0,2.0,51.0,4.0,3,75000.0
42,76.0,17.0,2.0,49.0,4.0,3,59400.0
43,,17.0,2.0,52.0,4.0,3,94400.0
44,225.0,17.0,2.0,52.0,8.0,3,92200.0
45,200.0,17.0,2.0,52.0,3.0,3,91150.0
46,151.0,17.0,2.0,50.0,4.0,3,71250.0
47,130.0,8.0,2.0,43.0,4.0,3,68750.0
48,71.0,17.0,2.0,40.0,5.0,3,93750.0
49,133.0,17.0,2.0,40.0,4.0,3,56250.0
50,69.0,17.0,1.0,21.0,3.0,2,85950.0
51,112.0,17.0,2.0,43.0,5.0,3,46900.0
52,83.0,17.0,2.0,41.0,5.0,3,48750.0
53,93.0,17.0,2.0,52.0,5.0,3,52100.0
54,120.0,17.0,2.0,52.0,6.0,3,79343.0737477887
55,105.0,17.0,2.0,52.0,5.0,3,41550.0
56,112.0,17.0,2.0,52.0,4.0,3,99177.29108775957
57,,17.0,2.0,52.0,6.0,3,42650.0
58,91.0,17.0,2.0,52.0,7.0,3,40150.0
59,,8.0,2.0,2.0,3.0,2,30000.0
60,254.0,17.0,2.0,52.0,6.0,3,37850.0
61,458.0,17.0,2.0,49.0,7.0,3,37500.0
62,67.0,17.0,2.0,50.0,6.0,3,43050.0
63,89.0,,2.0,52.0,6.0,3,38050.0
64,194.0,17.0,2.0,48.0,8.0,3,36750.0
65,87.0,17.0,2.0,52.0,6.0,3,39200.0
66,60.0,17.0,2.0,48.0,4.0,3,42200.0
67,195.0,17.0,2.0,52.0,6.0,3,40650.0
68,138.0,17.0,,52.0,6.0,3,42500.0
69,73.0,17.0,2.0,46.0,6.0,3,64600.0
70,132.0,17.0,,26.0,,3,41250.0
71,54.0,8.0,2.0,46.0,4.0,3,76688.78864775055
72,131.0,17.0,2.0,49.0,7.0,3,5465570.0
73,37.0,17.0,,,5.0,3,33750.0
74,186.0,17.0,2.0,29.0,8.0,3,68750.0
75,69.0,,2.0,17.0,3.0,2,88750.0
76,183.0,17.0,2.0,36.0,4.0,3,51049.99999999999
77,83.0,8.0,2.0,19.0,7.0,3,54150.0
78,60.0,17.0,2.0,23.0,6.0,3,56250.0
79,150.0,17.0,2.0,38.0,4.0,3,5457502.0
80,112.0,17.0,2.0,17.0,8.0,3,50354.32244360193
81,87.0,17.0,2.0,52.0,6.0,3,56250.0
82,0.0,17.0,2.0,52.0,4.0,3,98601.73572526955
83,60.0,17.0,2.0,52.0,4.0,3,68750.0
84,135.0,17.0,2.0,35.0,5.0,3,59400.0
85,180.0,17.0,2.0,52.0,6.0,3,49100.0
86,73.0,17.0,2.0,40.0,3.0,2,59400.0
87,57.0,17.0,2.0,10.0,3.0,2,81250.0
88,72.0,,2.0,10.0,6.0,3,68750.0
89,93.0,17.0,2.0,52.0,8.0,4,250000.5
90,157.0,17.0,2.0,16.0,4.0,3,62427.230930990154
91,65.0,17.0,2.0,52.0,8.0,5,68750.0
92,56.0,17.0,2.0,52.0,8.0,4,81250.0
